index,vlinder,latit,lon,height,map_to_use,buffer,radius,building,road,rest_impervious,rail_road,water,rest_non_impervious,crop_land,gras_shrub,tree,gras_shrub_agriculture,gras_shrub_road,trees_road,gras_shrub_water,trees_water,green,impervious,used_map,no_data,railways,nbu_area-open_space,nbu_area-streets,nbu_area-green_ndvi,nbu_area-street_green_ndvi,bu_area-open_space,bu-area-streets,bu_area-green_ndvi,bu_area-green_ua,bu_area-street_green_ndvi,bu_buildings,LCZ
0,teststation1,51.233,4.366,20.500160217285156,['BBK1_15_Kbl15.tif'],"POLYGON ((149857.364054738 213674.4920875076, 149857.2955314757 213671.8752896955, 149857.0901495064 213669.2656643442, 149856.7484717678 213666.6703642556, 149856.2714347747 213664.0965029667, 149855.6603460524 213661.5511352525, 149854.9168805527 213659.0412377889, 149854.0430760628 213656.5736900303, 149853.0413276201 213654.1552553538, 149851.9143809474 213651.7925625207, 149850.6653249272 213649.4920875076, 149849.2975831353 213647.2601357569, 149847.8149044567 213645.102824893, 149846.2213528108 213643.0260679551, 149844.5212960119 213641.0355571897, 149842.7193937973 213639.1367484483, 149840.8205850559 213637.3348462337, 149838.8300742905 213635.6347894348, 149836.7533173526 213634.0412377889, 149834.5960064887 213632.5585591104, 149832.364054738 213631.1908173184, 149830.063579725 213629.9417612982, 149827.7008868918 213628.8148146255, 149825.2824522153 213627.8130661828, 149822.8149044567 213626.9392616929, 149820.3050069931 213626.1957961932, 149817.7596392789 213625.5847074709, 149815.18577799 213625.1076704779, 149812.5904779014 213624.7659927392, 149809.9808525501 213624.5606107699, 149807.364054738 213624.4920875076, 149804.7472569259 213624.5606107699, 149802.1376315746 213624.7659927392, 149799.542331486 213625.1076704779, 149796.9684701971 213625.5847074709, 149794.4231024829 213626.1957961932, 149791.9132050193 213626.9392616929, 149789.4456572607 213627.8130661828, 149787.0272225842 213628.8148146255, 149784.664529751 213629.9417612982, 149782.364054738 213631.1908173184, 149780.1321029872 213632.5585591104, 149777.9747921234 213634.0412377889, 149775.8980351855 213635.6347894348, 149773.90752442 213637.3348462337, 149772.0087156787 213639.1367484483, 149770.2068134641 213641.0355571897, 149768.5067566652 213643.0260679551, 149766.9132050193 213645.102824893, 149765.4305263407 213647.2601357569, 149764.0627845488 213649.4920875076, 149762.8137285286 213651.7925625207, 149761.6867818559 213654.1552553538, 149760.6850334131 213656.5736900303, 149759.8112289232 213659.0412377889, 149759.0677634235 213661.5511352525, 149758.4566747013 213664.0965029667, 149757.9796377082 213666.6703642556, 149757.6379599696 213669.2656643442, 149757.4325780003 213671.8752896955, 149757.364054738 213674.4920875076, 149757.4325780003 213677.1088853198, 149757.6379599696 213679.718510671, 149757.9796377082 213682.3138107596, 149758.4566747013 213684.8876720485, 149759.0677634235 213687.4330397627, 149759.8112289232 213689.9429372264, 149760.6850334131 213692.4104849849, 149761.6867818559 213694.8289196614, 149762.8137285286 213697.1916124946, 149764.0627845488 213699.4920875076, 149765.4305263407 213701.7240392584, 149766.9132050193 213703.8813501222, 149768.5067566652 213705.9581070601, 149770.2068134641 213707.9486178256, 149772.0087156787 213709.8474265669, 149773.90752442 213711.6493287815, 149775.8980351855 213713.3493855805, 149777.9747921234 213714.9429372264, 149780.1321029872 213716.4256159049, 149782.364054738 213717.7933576968, 149784.664529751 213719.042413717, 149787.0272225842 213720.1693603898, 149789.4456572607 213721.1711088325, 149791.9132050193 213722.0449133224, 149794.4231024829 213722.7883788221, 149796.9684701971 213723.3994675443, 149799.542331486 213723.8765045374, 149802.1376315746 213724.218182276, 149804.7472569259 213724.4235642453, 149807.364054738 213724.4920875076, 149809.9808525501 213724.4235642453, 149812.5904779014 213724.218182276, 149815.18577799 213723.8765045374, 149817.7596392789 213723.3994675443, 149820.3050069931 213722.7883788221, 149822.8149044567 213722.0449133224, 149825.2824522153 213721.1711088325, 149827.7008868918 213720.1693603898, 149830.063579725 213719.042413717, 149832.364054738 213717.7933576968, 149834.5960064887 213716.4256159049, 149836.7533173526 213714.9429372264, 149838.8300742905 213713.3493855805, 149840.8205850559 213711.6493287815, 149842.7193937973 213709.8474265669, 149844.5212960119 213707.9486178256, 149846.2213528108 213705.9581070601, 149847.8149044567 213703.8813501222, 149849.2975831353 213701.7240392584, 149850.6653249272 213699.4920875076, 149851.9143809474 213697.1916124946, 149853.0413276201 213694.8289196614, 149854.0430760628 213692.4104849849, 149854.9168805527 213689.9429372264, 149855.6603460524 213687.4330397627, 149856.2714347747 213684.8876720485, 149856.7484717678 213682.3138107596, 149857.0901495064 213679.718510671, 149857.2955314757 213677.1088853198, 149857.364054738 213674.4920875076))",50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009929254064788383,0.9900707459352116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BBK2015,,,,,,,,,,,,,"LCZ-A, dense trees"
0,teststation1,51.233,4.366,20.500160217285156,['BBK1_15_Kbl15.tif'],"POLYGON ((149907.364054738 213674.4920875076, 149907.2270082134 213669.2584918833, 149906.8162442748 213664.0392411808, 149906.1328887975 213658.8486410036, 149905.1788148114 213653.7009184258, 149903.9566373669 213648.6101829974, 149902.4697063675 213643.5903880701, 149900.7220973877 213638.6552925531, 149898.7186005022 213633.8184232, 149896.4647071568 213629.0930375337, 149893.9665951164 213624.4920875076, 149891.2311115325 213620.0281840061, 149888.2657541755 213615.7135622784, 149885.0786508837 213611.5600484026, 149881.6785372857 213607.5790268717, 149878.0747328567 213603.781409389, 149874.2771153739 213600.1776049599, 149870.296093843 213596.7774913619, 149866.1425799672 213593.5903880701, 149861.8279582395 213590.6250307131, 149857.364054738 213587.8895471292, 149852.763104712 213585.3914350888, 149848.0377190456 213583.1375417434, 149843.2008496925 213581.1340448579, 149838.2657541755 213579.3864358781, 149833.2459592482 213577.8995048787, 149828.1552238198 213576.6773274342, 149823.007501242 213575.7232534481, 149817.8169010648 213575.0398979708, 149812.5976503623 213574.6291340322, 149807.364054738 213574.4920875076, 149802.1304591137 213574.6291340322, 149796.9112084112 213575.0398979708, 149791.720608234 213575.7232534481, 149786.5728856562 213576.6773274342, 149781.4821502277 213577.8995048787, 149776.4623553005 213579.3864358781, 149771.5272597835 213581.1340448579, 149766.6903904304 213583.1375417434, 149761.965004764 213585.3914350888, 149757.364054738 213587.8895471292, 149752.9001512365 213590.6250307131, 149748.5855295087 213593.5903880701, 149744.432015633 213596.7774913619, 149740.4509941021 213600.1776049599, 149736.6533766193 213603.781409389, 149733.0495721902 213607.5790268717, 149729.6494585923 213611.5600484026, 149726.4623553005 213615.7135622784, 149723.4969979434 213620.0281840061, 149720.7615143596 213624.4920875076, 149718.2634023192 213629.0930375337, 149716.0095089737 213633.8184232, 149714.0060120883 213638.6552925531, 149712.2584031085 213643.5903880701, 149710.7714721091 213648.6101829974, 149709.5492946646 213653.7009184258, 149708.5952206785 213658.8486410036, 149707.9118652012 213664.0392411808, 149707.5011012625 213669.2584918833, 149707.364054738 213674.4920875076, 149707.5011012625 213679.7256831319, 149707.9118652012 213684.9449338344, 149708.5952206785 213690.1355340116, 149709.5492946646 213695.2832565894, 149710.7714721091 213700.3739920179, 149712.2584031085 213705.3937869451, 149714.0060120883 213710.3288824621, 149716.0095089737 213715.1657518152, 149718.2634023192 213719.8911374816, 149720.7615143596 213724.4920875076, 149723.4969979434 213728.9559910091, 149726.4623553005 213733.2706127369, 149729.6494585923 213737.4241266126, 149733.0495721902 213741.4051481435, 149736.6533766193 213745.2027656263, 149740.4509941021 213748.8065700554, 149744.432015633 213752.2066836533, 149748.5855295087 213755.3937869451, 149752.9001512365 213758.3591443022, 149757.364054738 213761.0946278861, 149761.965004764 213763.5927399264, 149766.6903904304 213765.8466332719, 149771.5272597835 213767.8501301573, 149776.4623553005 213769.5977391371, 149781.4821502277 213771.0846701365, 149786.5728856562 213772.306847581, 149791.720608234 213773.2609215671, 149796.9112084112 213773.9442770444, 149802.1304591137 213774.3550409831, 149807.364054738 213774.4920875076, 149812.5976503623 213774.3550409831, 149817.8169010648 213773.9442770444, 149823.007501242 213773.2609215671, 149828.1552238198 213772.306847581, 149833.2459592482 213771.0846701365, 149838.2657541755 213769.5977391371, 149843.2008496925 213767.8501301573, 149848.0377190456 213765.8466332719, 149852.763104712 213763.5927399264, 149857.364054738 213761.0946278861, 149861.8279582395 213758.3591443022, 149866.1425799672 213755.3937869451, 149870.296093843 213752.2066836533, 149874.2771153739 213748.8065700554, 149878.0747328567 213745.2027656263, 149881.6785372857 213741.4051481435, 149885.0786508837 213737.4241266126, 149888.2657541755 213733.2706127369, 149891.2311115325 213728.9559910091, 149893.9665951164 213724.4920875076, 149896.4647071568 213719.8911374816, 149898.7186005022 213715.1657518152, 149900.7220973877 213710.3288824621, 149902.4697063675 213705.3937869451, 149903.9566373669 213700.3739920179, 149905.1788148114 213695.2832565894, 149906.1328887975 213690.1355340116, 149906.8162442748 213684.9449338344, 149907.2270082134 213679.7256831319, 149907.364054738 213674.4920875076))",100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03039637883883947,0.9696036211611605,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BBK2015,,,,,,,,,,,,,"LCZ-A, dense trees"
0,teststation1,51.233,4.366,20.500160217285156,['BBK1_15_Kbl15.tif'],"POLYGON ((149957.364054738 213674.4920875076, 149957.1584849512 213666.6416940712, 149956.5423390432 213658.8128180175, 149955.5173058273 213651.0269177516, 149954.0861948481 213643.305333885, 149952.2529286814 213635.6692307422, 149950.0225321823 213628.1395383514, 149947.4011187126 213620.7368950758, 149944.3958733844 213613.4815910463, 149941.0150333662 213606.3935125467, 149937.2678653057 213599.4920875076, 149933.1646399298 213592.7962322554, 149928.7166038942 213586.3242996637, 149923.9359489565 213580.0940288501, 149918.8357785596 213574.1224965538, 149913.430071916 213568.4260703296, 149907.7336456918 213563.020363686, 149901.7621133955 213557.9201932891, 149895.5318425819 213553.1395383514, 149889.0599099902 213548.6915023158, 149882.364054738 213544.58827694, 149875.4626296989 213540.8411088794, 149868.3745511993 213537.4602688612, 149861.1192471698 213534.4550235331, 149853.7166038942 213531.8336100634, 149846.1869115034 213529.6032135643, 149838.5508083607 213527.7699473976, 149830.829224494 213526.3388364183, 149823.0433242281 213525.3138032024, 149815.2144481744 213524.6976572944, 149807.364054738 213524.4920875076, 149799.5136613015 213524.6976572944, 149791.6847852478 213525.3138032024, 149783.898884982 213526.3388364183, 149776.1773011153 213527.7699473976, 149768.5411979726 213529.6032135643, 149761.0115055818 213531.8336100634, 149753.6088623062 213534.4550235331, 149746.3535582766 213537.4602688612, 149739.2654797771 213540.8411088794, 149732.364054738 213544.58827694, 149725.6681994857 213548.6915023158, 149719.1962668941 213553.1395383514, 149712.9659960805 213557.9201932891, 149706.9944637842 213563.020363686, 149701.29803756 213568.4260703296, 149695.8923309164 213574.1224965538, 149690.7921605195 213580.0940288501, 149686.0115055818 213586.3242996637, 149681.5634695462 213592.7962322554, 149677.4602441703 213599.4920875076, 149673.7130761097 213606.3935125467, 149670.3322360916 213613.4815910463, 149667.3269907634 213620.7368950758, 149664.7055772937 213628.1395383514, 149662.4751807946 213635.6692307422, 149660.6419146279 213643.305333885, 149659.2108036487 213651.0269177516, 149658.1857704328 213658.8128180175, 149657.5696245248 213666.6416940712, 149657.364054738 213674.4920875076, 149657.5696245248 213682.3424809441, 149658.1857704328 213690.1713569978, 149659.2108036487 213697.9572572637, 149660.6419146279 213705.6788411303, 149662.4751807946 213713.314944273, 149664.7055772937 213720.8446366639, 149667.3269907634 213728.2472799394, 149670.3322360916 213735.502583969, 149673.7130761097 213742.5906624685, 149677.4602441703 213749.4920875076, 149681.5634695462 213756.1879427599, 149686.0115055818 213762.6598753515, 149690.7921605195 213768.8901461651, 149695.8923309164 213774.8616784615, 149701.29803756 213780.5581046856, 149706.9944637842 213785.9638113292, 149712.9659960805 213791.0639817262, 149719.1962668941 213795.8446366639, 149725.6681994857 213800.2926726994, 149732.364054738 213804.3958980753, 149739.2654797771 213808.1430661359, 149746.3535582766 213811.523906154, 149753.6088623062 213814.5291514822, 149761.0115055818 213817.1505649519, 149768.5411979726 213819.380961451, 149776.1773011153 213821.2142276177, 149783.898884982 213822.6453385969, 149791.6847852478 213823.6703718129, 149799.5136613015 213824.2865177208, 149807.364054738 213824.4920875076, 149815.2144481744 213824.2865177208, 149823.0433242281 213823.6703718129, 149830.829224494 213822.6453385969, 149838.5508083607 213821.2142276177, 149846.1869115034 213819.380961451, 149853.7166038942 213817.1505649519, 149861.1192471698 213814.5291514822, 149868.3745511993 213811.523906154, 149875.4626296989 213808.1430661359, 149882.364054738 213804.3958980753, 149889.0599099902 213800.2926726994, 149895.5318425819 213795.8446366639, 149901.7621133955 213791.0639817262, 149907.7336456918 213785.9638113292, 149913.430071916 213780.5581046856, 149918.8357785596 213774.8616784615, 149923.9359489565 213768.8901461651, 149928.7166038942 213762.6598753515, 149933.1646399298 213756.1879427599, 149937.2678653057 213749.4920875076, 149941.0150333662 213742.5906624685, 149944.3958733844 213735.502583969, 149947.4011187126 213728.2472799394, 149950.0225321823 213720.8446366639, 149952.2529286814 213713.314944273, 149954.0861948481 213705.6788411303, 149955.5173058273 213697.9572572637, 149956.5423390432 213690.1713569978, 149957.1584849512 213682.3424809441, 149957.364054738 213674.4920875076))",150,0.0,0.0,0.0,0.0,0.0,0.0001263051532502526,0.0,0.025822386886718313,0.9740513079600315,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BBK2015,,,,,,,,,,,,,"LCZ-A, dense trees"
0,teststation1,51.233,4.366,20.500160217285156,['BBK1_15_Kbl15.tif'],"POLYGON ((150057.364054738 213674.4920875076, 150057.0214384266 213661.4080984469, 150055.99452858 213648.3599716907, 150054.2861398868 213635.3834712476, 150051.9009549214 213622.5141648032, 150048.8455113103 213609.787326232, 150045.1281838118 213597.2378389139, 150040.7591613623 213584.9001001213, 150035.7504191487 213572.8079267387, 150030.1156857851 213560.9944625727, 150023.8704056841 213549.4920875076, 150017.0316967244 213538.3323287539, 150009.6183033317 213527.5457744345, 150001.6505451022 213517.1619897452, 149993.1502611073 213507.2094359179, 149984.1407500346 213497.715392211, 149974.6467063277 213488.7058811383, 149964.6941525005 213480.2055971434, 149954.3103678111 213472.2378389139, 149943.5238134917 213464.8244455213, 149932.364054738 213457.9857365615, 149920.8616796729 213451.7404564605, 149909.0482155069 213446.105723097, 149896.9560421243 213441.0969808833, 149884.6183033317 213436.7279584338, 149872.0688160136 213433.0106309353, 149859.3419774424 213429.9551873242, 149846.472670998 213427.5700023588, 149833.4961705549 213425.8616136656, 149820.4480437987 213424.834703819, 149807.364054738 213424.4920875076, 149794.2800656772 213424.834703819, 149781.2319389211 213425.8616136656, 149768.2554384779 213427.5700023588, 149755.3861320335 213429.9551873242, 149742.6592934623 213433.0106309353, 149730.1098061443 213436.7279584338, 149717.7720673517 213441.0969808833, 149705.679893969 213446.105723097, 149693.8664298031 213451.7404564605, 149682.364054738 213457.9857365615, 149671.2042959842 213464.8244455213, 149660.4177416649 213472.2378389139, 149650.0339569755 213480.2055971434, 149640.0814031483 213488.7058811383, 149630.5873594414 213497.715392211, 149621.5778483686 213507.2094359179, 149613.0775643738 213517.1619897452, 149605.1098061443 213527.5457744345, 149597.6964127516 213538.3323287539, 149590.8577037919 213549.4920875076, 149584.6124236909 213560.9944625727, 149578.9776903273 213572.8079267387, 149573.9689481137 213584.9001001213, 149569.5999256642 213597.2378389139, 149565.8825981657 213609.787326232, 149562.8271545545 213622.5141648032, 149560.4419695892 213635.3834712476, 149558.7335808959 213648.3599716907, 149557.7066710494 213661.4080984469, 149557.364054738 213674.4920875076, 149557.7066710494 213687.5760765684, 149558.7335808959 213700.6242033245, 149560.4419695892 213713.6007037677, 149562.8271545545 213726.4700102121, 149565.8825981657 213739.1968487833, 149569.5999256642 213751.7463361014, 149573.9689481137 213764.0840748939, 149578.9776903273 213776.1762482766, 149584.6124236909 213787.9897124425, 149590.8577037919 213799.4920875076, 149597.6964127516 213810.6518462614, 149605.1098061443 213821.4384005808, 149613.0775643738 213831.8221852701, 149621.5778483686 213841.7747390973, 149630.5873594414 213851.2687828043, 149640.0814031483 213860.278293877, 149650.0339569755 213868.7785778719, 149660.4177416649 213876.7463361014, 149671.2042959842 213884.159729494, 149682.364054738 213890.9984384537, 149693.8664298031 213897.2437185547, 149705.679893969 213902.8784519183, 149717.7720673517 213907.8871941319, 149730.1098061443 213912.2562165814, 149742.6592934623 213915.9735440799, 149755.3861320335 213919.0289876911, 149768.2554384779 213921.4141726564, 149781.2319389211 213923.1225613497, 149794.2800656772 213924.1494711963, 149807.364054738 213924.4920875076, 149820.4480437987 213924.1494711963, 149833.4961705549 213923.1225613497, 149846.472670998 213921.4141726564, 149859.3419774424 213919.0289876911, 149872.0688160136 213915.9735440799, 149884.6183033317 213912.2562165814, 149896.9560421243 213907.8871941319, 149909.0482155069 213902.8784519183, 149920.8616796729 213897.2437185547, 149932.364054738 213890.9984384537, 149943.5238134917 213884.159729494, 149954.3103678111 213876.7463361014, 149964.6941525005 213868.7785778719, 149974.6467063277 213860.278293877, 149984.1407500346 213851.2687828043, 149993.1502611073 213841.7747390973, 150001.6505451022 213831.8221852701, 150009.6183033317 213821.4384005808, 150017.0316967244 213810.6518462614, 150023.8704056841 213799.4920875076, 150030.1156857851 213787.9897124425, 150035.7504191487 213776.1762482766, 150040.7591613623 213764.0840748939, 150045.1281838118 213751.7463361014, 150048.8455113103 213739.1968487833, 150051.9009549214 213726.4700102121, 150054.2861398868 213713.6007037677, 150055.99452858 213700.6242033245, 150057.0214384266 213687.5760765684, 150057.364054738 213674.4920875076))",250,0.0,0.0,0.0,0.0,0.0,4.561881928358179e-05,0.0,0.018870984910308333,0.9810833962704081,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BBK2015,,,,,,,,,,,,,"LCZ-A, dense trees"
1,teststation2,50.9788,5.0012,41.631961822509766,['BBK1_15_Kbl25.tif'],"POLYGON ((194464.8189166347 185584.3153469842, 194464.7503933724 185581.6985491721, 194464.5450114031 185579.0889238208, 194464.2033336645 185576.4936237322, 194463.7262966714 185573.9197624433, 194463.1152079492 185571.3743947291, 194462.3717424495 185568.8644972655, 194461.4979379596 185566.3969495069, 194460.4961895169 185563.9785148304, 194459.3692428441 185561.6158219972, 194458.1201868239 185559.3153469842, 194456.752445032 185557.0833952334, 194455.2697663534 185554.9260843696, 194453.6762147075 185552.8493274317, 194451.9761579086 185550.8588166662, 194450.174255694 185548.9600079249, 194448.2754469527 185547.1581057103, 194446.2849361872 185545.4580489114, 194444.2081792493 185543.8644972655, 194442.0508683855 185542.3818185869, 194439.8189166347 185541.014076795, 194437.5184416217 185539.7650207748, 194435.1557487885 185538.6380741021, 194432.737314112 185537.6363256593, 194430.2697663534 185536.7625211694, 194427.7598688898 185536.0190556697, 194425.2145011756 185535.4079669475, 194422.6406398867 185534.9309299544, 194420.0453397981 185534.5892522158, 194417.4357144469 185534.3838702465, 194414.8189166347 185534.3153469842, 194412.2021188226 185534.3838702465, 194409.5924934713 185534.5892522158, 194406.9971933827 185534.9309299544, 194404.4233320938 185535.4079669475, 194401.8779643796 185536.0190556697, 194399.368066916 185536.7625211694, 194396.9005191574 185537.6363256593, 194394.4820844809 185538.6380741021, 194392.1193916477 185539.7650207748, 194389.8189166347 185541.014076795, 194387.586964884 185542.3818185869, 194385.4296540201 185543.8644972655, 194383.3528970822 185545.4580489114, 194381.3623863168 185547.1581057103, 194379.4635775754 185548.9600079249, 194377.6616753608 185550.8588166662, 194375.9616185619 185552.8493274317, 194374.368066916 185554.9260843696, 194372.8853882375 185557.0833952334, 194371.5176464455 185559.3153469842, 194370.2685904253 185561.6158219972, 194369.1416437526 185563.9785148304, 194368.1398953099 185566.3969495069, 194367.26609082 185568.8644972655, 194366.5226253203 185571.3743947291, 194365.911536598 185573.9197624433, 194365.4344996049 185576.4936237322, 194365.0928218663 185579.0889238208, 194364.887439897 185581.6985491721, 194364.8189166347 185584.3153469842, 194364.887439897 185586.9321447963, 194365.0928218663 185589.5417701476, 194365.4344996049 185592.1370702362, 194365.911536598 185594.7109315251, 194366.5226253203 185597.2562992393, 194367.26609082 185599.7661967029, 194368.1398953099 185602.2337444615, 194369.1416437526 185604.652179138, 194370.2685904253 185607.0148719712, 194371.5176464455 185609.3153469842, 194372.8853882375 185611.5472987349, 194374.368066916 185613.7046095988, 194375.9616185619 185615.7813665367, 194377.6616753608 185617.7718773021, 194379.4635775754 185619.6706860435, 194381.3623863168 185621.4725882581, 194383.3528970822 185623.172645057, 194385.4296540201 185624.7661967029, 194387.586964884 185626.2488753815, 194389.8189166347 185627.6166171734, 194392.1193916477 185628.8656731936, 194394.4820844809 185629.9926198663, 194396.9005191574 185630.994368309, 194399.368066916 185631.8681727989, 194401.8779643796 185632.6116382986, 194404.4233320938 185633.2227270209, 194406.9971933827 185633.699764014, 194409.5924934713 185634.0414417526, 194412.2021188226 185634.2468237219, 194414.8189166347 185634.3153469842, 194417.4357144469 185634.2468237219, 194420.0453397981 185634.0414417526, 194422.6406398867 185633.699764014, 194425.2145011756 185633.2227270209, 194427.7598688898 185632.6116382986, 194430.2697663534 185631.8681727989, 194432.737314112 185630.994368309, 194435.1557487885 185629.9926198663, 194437.5184416217 185628.8656731936, 194439.8189166347 185627.6166171734, 194442.0508683855 185626.2488753815, 194444.2081792493 185624.7661967029, 194446.2849361872 185623.172645057, 194448.2754469527 185621.4725882581, 194450.174255694 185619.6706860435, 194451.9761579086 185617.7718773021, 194453.6762147075 185615.7813665367, 194455.2697663534 185613.7046095988, 194456.752445032 185611.5472987349, 194458.1201868239 185609.3153469842, 194459.3692428441 185607.0148719712, 194460.4961895169 185604.652179138, 194461.4979379596 185602.2337444615, 194462.3717424495 185599.7661967029, 194463.1152079492 185597.2562992393, 194463.7262966714 185594.7109315251, 194464.2033336645 185592.1370702362, 194464.5450114031 185589.5417701476, 194464.7503933724 185586.9321447963, 194464.8189166347 185584.3153469842))",50,0.0682720953326713,0.2112711022840119,0.07298907646474677,0.0,0.0,0.006454816285998014,0.4684707050645482,0.09893247269116187,0.041211519364448855,0.0,0.030660377358490566,0.001737835153922542,0.0,0.0,0.64746772591857,0.35253227408143,BBK2015,,,,,,,,,,,,,"LCZ-D, low plants"
1,teststation2,50.9788,5.0012,41.631961822509766,['BBK1_15_Kbl25.tif'],"POLYGON ((194514.8189166347 185584.3153469842, 194514.6818701102 185579.0817513599, 194514.2711061715 185573.8625006574, 194513.5877506942 185568.6719004802, 194512.6336767081 185563.5241779024, 194511.4114992636 185558.4334424739, 194509.9245682642 185553.4136475467, 194508.1769592844 185548.4785520297, 194506.173462399 185543.6416826766, 194503.9195690535 185538.9162970102, 194501.4214570131 185534.3153469842, 194498.6859734293 185529.8514434827, 194495.7206160722 185525.5368217549, 194492.5335127804 185521.3833078792, 194489.1333991825 185517.4022863483, 194485.5295947534 185513.6046688655, 194481.7319772706 185510.0008644364, 194477.7509557397 185506.6007508385, 194473.597441864 185503.4136475467, 194469.2828201362 185500.4482901896, 194464.8189166347 185497.7128066058, 194460.2179666087 185495.2146945654, 194455.4925809423 185492.9608012199, 194450.6557115892 185490.9573043345, 194445.7206160722 185489.2096953547, 194440.700821145 185487.7227643553, 194435.6100857165 185486.5005869108, 194430.4623631387 185485.5465129247, 194425.2717629615 185484.8631574474, 194420.052512259 185484.4523935087, 194414.8189166347 185484.3153469842, 194409.5853210104 185484.4523935087, 194404.3660703079 185484.8631574474, 194399.1754701307 185485.5465129247, 194394.0277475529 185486.5005869108, 194388.9370121245 185487.7227643553, 194383.9172171972 185489.2096953547, 194378.9821216802 185490.9573043345, 194374.1452523271 185492.9608012199, 194369.4198666608 185495.2146945654, 194364.8189166347 185497.7128066058, 194360.3550131332 185500.4482901896, 194356.0403914055 185503.4136475467, 194351.8868775297 185506.6007508385, 194347.9058559988 185510.0008644364, 194344.1082385161 185513.6046688655, 194340.504434087 185517.4022863483, 194337.104320489 185521.3833078792, 194333.9172171972 185525.5368217549, 194330.9518598402 185529.8514434827, 194328.2163762563 185534.3153469842, 194325.7182642159 185538.9162970102, 194323.4643708705 185543.6416826766, 194321.460873985 185548.4785520297, 194319.7132650052 185553.4136475467, 194318.2263340058 185558.4334424739, 194317.0041565613 185563.5241779024, 194316.0500825752 185568.6719004802, 194315.3667270979 185573.8625006574, 194314.9559631593 185579.0817513599, 194314.8189166347 185584.3153469842, 194314.9559631593 185589.5489426085, 194315.3667270979 185594.768193311, 194316.0500825752 185599.9587934882, 194317.0041565613 185605.106516066, 194318.2263340058 185610.1972514945, 194319.7132650052 185615.2170464217, 194321.460873985 185620.1521419387, 194323.4643708705 185624.9890112918, 194325.7182642159 185629.7143969582, 194328.2163762563 185634.3153469842, 194330.9518598402 185638.7792504857, 194333.9172171972 185643.0938722134, 194337.104320489 185647.2473860892, 194340.504434087 185651.2284076201, 194344.1082385161 185655.0260251029, 194347.9058559988 185658.6298295319, 194351.8868775297 185662.0299431299, 194356.0403914055 185665.2170464217, 194360.3550131332 185668.1824037787, 194364.8189166347 185670.9178873626, 194369.4198666608 185673.415999403, 194374.1452523271 185675.6698927484, 194378.9821216802 185677.6733896339, 194383.9172171972 185679.4209986137, 194388.9370121245 185680.9079296131, 194394.0277475529 185682.1301070576, 194399.1754701307 185683.0841810437, 194404.3660703079 185683.767536521, 194409.5853210104 185684.1783004596, 194414.8189166347 185684.3153469842, 194420.052512259 185684.1783004596, 194425.2717629615 185683.767536521, 194430.4623631387 185683.0841810437, 194435.6100857165 185682.1301070576, 194440.700821145 185680.9079296131, 194445.7206160722 185679.4209986137, 194450.6557115892 185677.6733896339, 194455.4925809423 185675.6698927484, 194460.2179666087 185673.415999403, 194464.8189166347 185670.9178873626, 194469.2828201362 185668.1824037787, 194473.597441864 185665.2170464217, 194477.7509557397 185662.0299431299, 194481.7319772706 185658.6298295319, 194485.5295947534 185655.0260251029, 194489.1333991825 185651.2284076201, 194492.5335127804 185647.2473860892, 194495.7206160722 185643.0938722134, 194498.6859734293 185638.7792504857, 194501.4214570131 185634.3153469842, 194503.9195690535 185629.7143969582, 194506.173462399 185624.9890112918, 194508.1769592844 185620.1521419387, 194509.9245682642 185615.2170464217, 194511.4114992636 185610.1972514945, 194512.6336767081 185605.106516066, 194513.5877506942 185599.9587934882, 194514.2711061715 185594.768193311, 194514.6818701102 185589.5489426085, 194514.8189166347 185584.3153469842))",100,0.0981323104012074,0.1139793736636901,0.07530499308263111,0.0,0.0,0.014620802414790593,0.4038171299207647,0.1962646208024148,0.08417180228902024,0.0,0.01185385486102377,0.001855112564457301,0.0,0.0,0.7125833228524713,0.2874166771475286,BBK2015,,,,,,,,,,,,,"LCZ-D, low plants"
