ID,station,lat,lon,stad,benaming,school,sponsor
hI1sYgmyyHsY74OKORcVjgIH,vlinder47,51.221908,5.396069,Pelt,Nolimpark,VOX Atheneum,Brabantia
yne5qgw98kSGqMNk2hHRHEgX,vlinder48,51.240491,4.127082,Sint-Gillis-Waas,Meerdonk,VTS,Stad Sint-Niklaas
V0Vrych4WeZJXlx9HnEzrtdB,vlinder49,51.165014,4.146297,Sint-Niklaas,Centrum,Berkenboom,Stad Sint-Niklaas
EpYBjkKLsYyRErDGstWeFI3A,vlinder50,50.817338,5.188869,Sint-Truiden,Abdij,Hasp-O-Centrum,Milieuraad Sint-Truiden
DqtAUxOaYtpvQev7UdLAGni5,vlinder51,50.743256,5.226407,Gingelom,Boekhout,Het Kompas,Milieuraad Sint-Truiden
CRjDzKhYB7Q0yrBMsvYrOABc,vlinder52,50.997417,3.328104,Tielt,Centrum,VTI,stad Tielt
8NZZfd5wtnSZAJSABVLd4hA1,vlinder53,50.979972,3.358833,Tielt,Poelberg,VTI,Stadlandschap West-Vlaamse Hart
dIo3hFEg7DeF32Nj9fqUoDcp,vlinder54,50.810032,4.940457,Tienen,Centrum,VIA,stad Tienen
IAKRIUlMMP39zdbXNEbCW3Re,vlinder55,51.07774,2.560609,De Panne,De Westhoek,GO! Ath. Veurne,Gemeente De Panne
zdaMx592RdPfr5bHa8h8bu4W,vlinder56,51.201971,4.772456,Vorselaar,Klooster,Thomas More,Gemeente Vorselaar
yig7e7HGi27NcwzIOgcvhBC2,vlinder57,51.19893,3.814217,Zelzate,Centrum,GO! Atheneum,North Sea Port
S1cUFJPTdRN13R1eTiXoH77C,vlinder58,51.207515,3.803448,Zelzate,Haven,Sint-Laurens,Rain Carbon
lOM9ntUwfV7154olxq9ylQcC,vlinder59,50.980438,3.815763,Melle,Proefhoeve 2,UGent,Universiteit Gent
ULRkNeA9OIT41itKx9ArGEwP,vlinder60,50.84639,2.883056,Ieper,Vesten,Consortium Ieper,Stad Ieper
l7rFOO2GjgOciJAKIhm8mVZV,vlinder61,51.2087,3.4528,Courtmanslaan,GO! Atheneum,Gemeente Maldegem,
ALg8aViYNhDHRgwIW7ZB9l1y,vlinder62,50.7721,3.8908,Geraardsbergen,Oudenberg,Koninklijk Atheneum,SOLVA
hnc0YxKu18Jw7OdqhA3g5Pyc,vlinder63,51.0317,4.4941,Mechelen,Nekkerspoel,BA Nekkerspoel,Stad Mechelen
8UMyHhYpXOQpejqup2upLBlV,vlinder64,51.0229,4.4825,Mechelen,Dijle,BA Pitzemburg,Stad Mechelen
WBOSyZXZgzSIK42bG8KfRkKW,vlinder65,50.8844,3.8834,Herzele,Educatief park,Atheneum Herzele,SOLVA
qxCwQVK8J7frFmlSyNHY1vjS,vlinder66,50.8368,4.0221,Ninove,Pastorij,Hartencollege,SOLVA
H3M4uDKhcoVHfnsBxcZv6BeL,vlinder67,50.8631,3.8084,Zottegem,Campus,KAZ Zottegem,SOLVA
w2iKDX5uZoe7gF0cUFAeMBo2,vlinder68,51.1362,4.5433,Lier,Donkhoeve,VTI Lier,Stad Lier
g6fFNlSTajdUGUrsJDWEDgz4,vlinder69,51.2312,5.3139,Lommel,Centrum,X Plus,Stad Lommel
tJ4tPJofKynz98YZ2f5dYLCR,vlinder70,50.95194,2.95222,Langemark-Poelkapelle,DOVO,Koninklijke Militaire School (KMS),DOVO
